dt	gkgrecordid	sqldate	country	src	url
2018-09-18 07:00:12	20180918050000-0	20180918	BR	kfru.com	http://www.kfru.com/news/massachusetts-shark-attack-victim-was-a-college-student-who-planned-to-marry-his-girlfriend-brother-says/
2018-09-18 07:00:12	20180918050000-1	20180918	IT	journal-advocate.com	http://www.journal-advocate.com/business/sterling-agriculture/ci_32144598/business-week-cecilias-kitchen-and-jimmys-pizza
2018-09-18 07:00:12	20180918050000-2	20180918	IN	alongtheboards.com	http://alongtheboards.com/2018/09/18/london-mayor-calls-for-second-referendum-on-brexit.html
2018-09-18 07:00:12	20180918050000-3	20180918	RS	globalsecurity.org	https://www.globalsecurity.org/military/library/news/2018/09/mil-180917-rferl01.htm
2018-09-18 07:00:12	20180918050000-4	20180918	UK	pittsburghstar.com	https://www.pittsburghstar.com/news/258000703/london-mayor-calls-for-second-referendum-on-brexit
2018-09-18 07:00:12	20180918050000-5	20180918	US	yumanewsnow.com	https://www.yumanewsnow.com/index.php/news/yuma-news/4832-high-school-upperclassmen-to-go-off-to-college.html
2018-09-18 07:00:12	20180918050000-6	20180918	NULL	wtvm.com	http://www.wtvm.com/2018/09/18/bus-driver-incentive-voted-down-mcsd-board-meeting/
2018-09-18 07:00:12	20180918050000-7	20180918	NULL	bournemouthecho.co.uk	https://www.bournemouthecho.co.uk/news/16885072.peter-pan-jr-off-to-a-flying-start-at-the-regent-with-145-local-young-performers/
2018-09-18 07:00:12	20180918050000-8	20180918	US	winchesterstar.com	http://www.winchesterstar.com/winchester_star/your-views-wexton-the-kind-we-need/article_5d2664ea-e272-532e-a365-aae7caa0ca4a.html
2018-09-18 07:00:12	20180918050000-9	20180918	UK	prnewswire.com	https://www.prnewswire.com:443/news-releases/jupiter-chain-and-deloitte-collaborate-to-deliver-secure-blockchain-driven-data-exchange-platform-for-the-southeast-asia-market-300714241.html
2018-09-18 07:00:12	20180918050000-10	20180918	US	bendbulletin.com	https://www.bendbulletin.com/localstate/marijuana/6529360-151/portland-dispensary-owner-gets-prison-time-for-tax
2018-09-18 07:00:12	20180918050000-11	20180918	US	kyforward.com	https://www.kyforward.com/medicaid-participants-can-change-managed-care-organization-through-dec-16-five-options/
2018-09-18 07:00:12	20180918050000-12	20180918	NULL	iheart.com	https://kpht955.iheart.com/content/2018-09-17-alex-borstein-won-the-2018-emmys-with-this-hilarious-acceptance-speech/
2018-09-18 07:00:12	20180918050000-13	20180918	NULL	wxxv25.com	https://www.wxxv25.com/2018/09/17/09-17-ryans-great-start-monday-night-forecast/
2018-09-18 07:00:12	20180918050000-14	20180918	NULL	girlfriend.com.au	https://www.girlfriend.com.au/pictures-of-bear-payne-finally-emerge
2018-09-18 07:00:12	20180918050000-15	20180918	PL	timesofisrael.com	https://www.timesofisrael.com/poland-banned-from-european-judicial-body/
2018-09-18 07:00:12	20180918050000-16	20180918	IN	tmcnet.com	https://www.tmcnet.com/usubmit/2018/09/18/8818758.htm
2018-09-18 07:00:12	20180918050000-17	20180918	US	govtech.com	http://www.govtech.com/people/A-Champion-of-Open-Data-Transparency-Minneapolis-CIO-Heads-to-Semi-Retirement.html
2018-09-18 07:00:12	20180918050000-18	20180918	UK	scotsman.com	https://www.scotsman.com/news/employee-owned-jerba-campervans-grows-turnover-1-4801033
2018-09-18 07:00:12	20180918050000-19	20180918	GM	finanznachrichten.de	https://www.finanznachrichten.de/nachrichten-2018-09/44794619-northland-power-inc-northland-power-announces-2018-investor-day-presentation-webcast-399.htm
2018-09-18 07:00:12	20180918050000-20	20180918	NZ	voxy.co.nz	http://www.voxy.co.nz/national/5/321223
2018-09-18 07:00:12	20180918050000-21	20180918	VM	thebogotapost.com	https://thebogotapost.com/2018/09/12/colombian-coffee-farmers-in-danger-as-international-price-drops/
2018-09-18 07:00:12	20180918050000-22	20180918	US	newyorktelegraph.com	https://www.newyorktelegraph.com/news/258006866/darnold-jets-right-back-on-horse-as-they-prepare-for-browns
2018-09-18 07:00:12	20180918050000-23	20180918	AS	xinhuanet.com	http://www.xinhuanet.com/english/2018-09/18/c_137475953.htm
2018-09-18 07:00:12	20180918050000-24	20180918	US	ktre.com	http://www.ktre.com/story/39107894/flying-goats-in-wash-as-officials-try-to-remove-animals-mad-for-human-sweat-and-urine
2018-09-18 07:00:12	20180918050000-25	20180918	US	blackamericaweb.com	https://blackamericaweb.com/2018/09/17/rhode-island-town-council-boycotts-nike-adding-to-growing-list/
2018-09-18 07:00:12	20180918050000-26	20180918	NULL	iheart.com	https://hot995.iheart.com/content/2018-09-17-alex-borstein-won-the-2018-emmys-with-this-hilarious-acceptance-speech/
