dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 16:26:26	28	20180415141500-3	20180415	UK	-3.1413612565445
2018-04-15 16:26:26	25	20180415141500-18	20180415	SP	-4.43037974683544
2018-04-15 16:26:26	9	20180415141500-30	20180415	FR	-1
2018-04-15 16:26:26	28	20180415141500-58	20180415	UK	-3.59116022099448
2018-04-15 16:26:26	9	20180415141500-69	20180415	FR	-3.24675324675325
2018-04-15 16:26:26	25	20180415141500-89	20180415	SP	-4.45859872611465
2018-04-15 16:26:26	28	20180415141500-92	20180415	UK	2.20385674931129
2018-04-15 16:26:26	9	20180415141500-98	20180415	FR	5.72171651495449
2018-04-15 16:26:26	8	20180415141500-105	20180415	FI	-0.387596899224806
2018-04-15 16:26:26	1	20180415141500-111	20180415	AU	2.38095238095238
2018-04-15 16:26:26	28	20180415141500-130	20180415	UK	-1.41342756183746
2018-04-15 16:26:26	9	20180415141500-155	20180415	FR	-0.75187969924812
2018-04-15 16:26:26	20	20180415141500-183	20180415	NL	5.30612244897959
2018-04-15 16:26:26	28	20180415141500-199	20180415	UK	2.20385674931129
2018-04-15 16:26:26	28	20180415141500-202	20180415	UK	2.20385674931129
2018-04-15 16:26:26	28	20180415141500-215	20180415	UK	-2.42718446601942
2018-04-15 16:26:26	5	20180415141500-229	20180415	EI	6.63900414937759
2018-04-15 16:26:26	28	20180415141500-236	20180415	UK	0.386100386100386
2018-04-15 16:26:26	28	20180415141500-250	20180415	UK	-2.56410256410256
2018-04-15 16:26:26	28	20180415141500-278	20180415	UK	2.75862068965517
2018-04-15 16:26:26	9	20180415141500-291	20180415	FR	-1
2018-04-15 16:26:26	25	20180415141500-294	20180415	SP	-8.18181818181818
2018-04-15 16:26:26	28	20180415141500-295	20180415	UK	-2.88461538461538
2018-04-15 16:26:26	5	20180415141500-302	20180415	EI	-0.993377483443708
2018-04-15 16:26:26	28	20180415141500-317	20180415	UK	-4.82654600301659
2018-04-15 16:26:26	28	20180415141500-331	20180415	UK	-1.25
2018-04-15 16:26:26	25	20180415141500-335	20180415	SP	1.05263157894737
2018-04-15 16:26:26	28	20180415141500-343	20180415	UK	2.20385674931129
2018-04-15 16:26:26	28	20180415141500-357	20180415	UK	0.975609756097561
2018-04-15 16:26:26	5	20180415141500-369	20180415	EI	-7.40740740740741
2018-04-15 16:26:26	11	20180415141500-375	20180415	GR	-6.75909878682842
2018-04-15 16:26:26	28	20180415141500-387	20180415	UK	2.67379679144385
2018-04-15 16:26:26	21	20180415141500-405	20180415	PL	-3.77833753148615
2018-04-15 16:26:26	10	20180415141500-408	20180415	GM	-1.12612612612613
2018-04-15 16:26:26	9	20180415141500-412	20180415	FR	-0.91743119266055
2018-04-15 16:26:26	28	20180415141500-422	20180415	UK	0.291545189504373
2018-04-15 16:26:26	28	20180415141500-446	20180415	UK	-1.00250626566416
2018-04-15 16:26:26	28	20180415141500-460	20180415	UK	2.20385674931129
2018-04-15 16:26:26	14	20180415141500-462	20180415	IT	2.68456375838926
2018-04-15 16:26:26	28	20180415141500-467	20180415	UK	1.99275362318841
2018-04-15 16:26:26	11	20180415141500-501	20180415	GR	3.57142857142857
2018-04-15 16:26:26	1	20180415141500-506	20180415	AU	1.73913043478261
2018-04-15 16:26:26	28	20180415141500-561	20180415	UK	-1.13861386138614
2018-04-15 16:26:26	28	20180415141500-570	20180415	UK	-2.75862068965517
2018-04-15 16:26:26	28	20180415141500-575	20180415	UK	5.4421768707483
2018-04-15 16:26:26	1	20180415141500-606	20180415	AU	2.38095238095238
2018-04-15 16:26:26	28	20180415141500-611	20180415	UK	-1.22448979591837
